first,agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry
first,455,,35,20318,20323,9286,6642,7004303,80.45,4360.39,,"MULTILINESTRING ((-77.017539 38.887562,-77.016647 38.887551))"
first,455,,36,20323,20325,9302,6642,7004303,128.72,4489.11,,"MULTILINESTRING ((-77.016647 38.887551,-77.015199 38.887551))"
first,455,,37,20325,20582,9308,6643,7004304,96.54,4585.65,,"MULTILINESTRING ((-77.015199 38.887551,-77.0141 38.887551))"
first,455,,38,20582,20199,10117,6644,7004305,514.88,5100.53,,"MULTILINESTRING ((-77.0141 38.887551,-77.008127 38.887582))"
first,455,,39,20199,20197,8895,6645,7004306,193.08,5293.61,,"MULTILINESTRING ((-77.008127 38.887582,-77.005907 38.887601))"
first,455,,40,20197,20196,8886,6646,7004307,112.63,5406.24,,"MULTILINESTRING ((-77.005907 38.887601,-77.004579 38.887623))"
first,455,,41,20196,20194,8884,6646,7004307,96.54,5502.78,,"MULTILINESTRING ((-77.004579 38.887623,-77.003539 38.887593))"
first,455,,42,20194,20198,8878,6646,7004307,144.81,5647.59,,"MULTILINESTRING ((-77.003539 38.887593,-77.002028 38.886943))"
first,455,,43,20198,20213,8892,6646,7004307,144.81,5792.4,,"MULTILINESTRING ((-77.002028 38.886943,-77.000567 38.886352))"
first,456,,1,21263,21259,12455,6649,7004310,225.26,225.26,,"MULTILINESTRING ((-76.998438 38.885493,-76.996158 38.884573))"
first,456,,2,21259,21255,12446,6649,7004310,112.63,337.89,,"MULTILINESTRING ((-76.996158 38.884573,-76.994967 38.884081))"
first,456,,3,21255,21250,12435,6650,7004311,337.89,675.78,,"MULTILINESTRING ((-76.994967 38.884081,-76.991517 38.882662))"
first,456,,4,21250,21249,12415,6651,7004312,321.8,997.58,,"MULTILINESTRING ((-76.991517 38.882662,-76.988307 38.881352))"
first,456,,5,21249,21248,12413,6652,7004313,305.71,1303.29,,"MULTILINESTRING ((-76.988307 38.881352,-76.985209 38.880072))"
first,456,,6,21248,21657,12410,6653,7004314,160.9,1464.19,,"MULTILINESTRING ((-76.985209 38.880072,-76.983639 38.879432))"
first,456,,7,21657,21297,13740,6653,7004314,193.08,1657.27,,"MULTILINESTRING ((-76.983639 38.879432,-76.981658 38.878633))"
