agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry,old_agent_id
451,,23,21250,21249,12415,6568,7004229,0.2,2.42,,"MULTILINESTRING ((-76.991517 38.882662,-76.988307 38.881352))",217
451,,24,21249,21248,12413,6569,7004230,0.19,2.61,,"MULTILINESTRING ((-76.988307 38.881352,-76.985209 38.880072))",217
451,,25,21248,21657,12410,6570,7004231,0.1,2.71,,"MULTILINESTRING ((-76.985209 38.880072,-76.983639 38.879432))",217
451,,26,21657,21297,13740,6570,7004231,0.12,2.83,,"MULTILINESTRING ((-76.983639 38.879432,-76.981658 38.878633))",217
451,,27,21297,21416,12568,6570,7004231,0.13,2.96,,"MULTILINESTRING ((-76.981658 38.878633,-76.979698 38.877663))",217
451,,28,21416,21417,12983,6570,7004231,0.01,2.97,,"MULTILINESTRING ((-76.979698 38.877663,-76.979498 38.877602))",217
451,,29,21417,20969,12985,6571,7004232,0.22,3.19,,"MULTILINESTRING ((-76.979498 38.877602,-76.976136 38.875913))",217
451,,30,20969,20967,11459,6571,7004232,0.15,3.34,,"MULTILINESTRING ((-76.976136 38.875913,-76.973717 38.874751))",217
451,,31,20967,21299,11457,6571,7004232,0.19,3.53,,"MULTILINESTRING ((-76.973717 38.874751,-76.97076 38.873391))",217
451,,32,21299,21333,12576,6571,7004232,0.01,3.54,,"MULTILINESTRING ((-76.97076 38.873391,-76.970939 38.873282))",217
451,,33,21333,21736,12707,6572,7004233,0.18,3.72,,"MULTILINESTRING ((-76.970939 38.873282,-76.970936 38.870734))",217
451,,34,21736,21335,13986,6574,7004235,0.15,3.87,,"MULTILINESTRING ((-76.970936 38.870734,-76.970927 38.868622))",217
452,,1,21724,21347,13948,6577,7004238,0.11,0.11,,"MULTILINESTRING ((-76.970947 38.862244,-76.969356 38.861192))",217
452,,2,21347,21348,12760,6577,7004238,0.1,0.21,,"MULTILINESTRING ((-76.969356 38.861192,-76.968128 38.860203))",217
452,,3,21348,21349,12765,6579,7004240,0.24,0.45,,"MULTILINESTRING ((-76.968128 38.860203,-76.967237 38.856913))",217
452,,4,21349,20875,12767,6580,7004241,0.17,0.62,,"MULTILINESTRING ((-76.967237 38.856913,-76.965669 38.854743))",217
453,,1,5094,26572,8140,6583,7004244,0.08,0.08,,"MULTILINESTRING ((-76.95665 38.850312,-76.95802 38.849752))",218
453,,2,26572,21352,21316,6587,7004248,0.32,0.4,,"MULTILINESTRING ((-76.95802 38.849752,-76.961948 38.851922))",218
453,,3,21352,20875,12777,6587,7004248,0.29,0.69,,"MULTILINESTRING ((-76.961948 38.851922,-76.965669 38.854743))",218
453,,4,20875,320,11135,6589,7004250,0.24,0.93,,"MULTILINESTRING ((-76.965669 38.854743,-76.962858 38.857362))",218
453,,5,320,21350,972,6591,7004252,0.22,1.15,,"MULTILINESTRING ((-76.962858 38.857362,-76.9589 38.858341))",218
453,,6,21350,21329,12772,6594,7004255,0.25,1.4,,"MULTILINESTRING ((-76.9589 38.858341,-76.958999 38.861921))",218
453,,7,21329,21330,12690,6595,7004256,0.24,1.64,,"MULTILINESTRING ((-76.958999 38.861921,-76.959637 38.865332))",218
453,,8,21330,21320,12696,6596,7004257,0.27,1.91,,"MULTILINESTRING ((-76.959637 38.865332,-76.96039 38.869261))",218
453,,9,21320,21331,12658,6599,7004260,0.27,2.18,,"MULTILINESTRING ((-76.96039 38.869261,-76.964758 38.871083))",218
453,,10,21331,21332,12701,6599,7004260,0.26,2.44,,"MULTILINESTRING ((-76.964758 38.871083,-76.968958 38.872781))",218
453,,11,21332,21299,12702,6600,7004261,0.11,2.55,,"MULTILINESTRING ((-76.968958 38.872781,-76.97076 38.873391))",218
453,,12,21299,20967,12574,6600,7004261,0.19,2.74,,"MULTILINESTRING ((-76.97076 38.873391,-76.973717 38.874751))",218
453,,13,20967,20969,11455,6600,7004261,0.15,2.89,,"MULTILINESTRING ((-76.973717 38.874751,-76.976136 38.875913))",218
453,,14,20969,21417,11461,6601,7004262,0.22,3.11,,"MULTILINESTRING ((-76.976136 38.875913,-76.979498 38.877602))",218
453,,15,21417,21416,12986,6601,7004262,0.01,3.12,,"MULTILINESTRING ((-76.979498 38.877602,-76.979698 38.877663))",218
453,,16,21416,21297,12982,6601,7004262,0.13,3.25,,"MULTILINESTRING ((-76.979698 38.877663,-76.981658 38.878633))",218
453,,17,21297,21657,12569,6601,7004262,0.12,3.37,,"MULTILINESTRING ((-76.981658 38.878633,-76.983639 38.879432))",218
453,,18,21657,21248,13739,6601,7004262,0.1,3.47,,"MULTILINESTRING ((-76.983639 38.879432,-76.985209 38.880072))",218
454,,1,21250,21255,12417,6604,7004265,0.21,0.21,,"MULTILINESTRING ((-76.991517 38.882662,-76.994967 38.884081))",218
454,,2,21255,21259,12436,6604,7004265,0.07,0.28,,"MULTILINESTRING ((-76.994967 38.884081,-76.996158 38.884573))",218
454,,3,21259,21263,12447,6605,7004266,0.14,0.42,,"MULTILINESTRING ((-76.996158 38.884573,-76.998438 38.885493))",218
454,,4,21263,20212,12454,6605,7004266,0.07,0.49,,"MULTILINESTRING ((-76.998438 38.885493,-76.999646 38.885982))",218
454,,5,20212,20213,8938,6605,7004266,0.06,0.55,,"MULTILINESTRING ((-76.999646 38.885982,-77.000567 38.886352))",218
454,,6,20213,20198,8941,6607,7004268,0.09,0.64,,"MULTILINESTRING ((-77.000567 38.886352,-77.002028 38.886943))",218
454,,7,20198,20194,8891,6607,7004268,0.09,0.73,,"MULTILINESTRING ((-77.002028 38.886943,-77.003539 38.887593))",218
454,,8,20194,20196,8877,6608,7004269,0.06,0.79,,"MULTILINESTRING ((-77.003539 38.887593,-77.004579 38.887623))",218
454,,9,20196,20197,8885,6608,7004269,0.07,0.86,,"MULTILINESTRING ((-77.004579 38.887623,-77.005907 38.887601))",218
454,,10,20197,20199,8887,6609,7004270,0.12,0.98,,"MULTILINESTRING ((-77.005907 38.887601,-77.008127 38.887582))",218
454,,11,20199,20582,8896,6610,7004271,0.32,1.3,,"MULTILINESTRING ((-77.008127 38.887582,-77.0141 38.887551))",218
454,,12,20582,20325,10119,6610,7004271,0.06,1.36,,"MULTILINESTRING ((-77.0141 38.887551,-77.015199 38.887551))",218
