first,agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry
first,51,,1,32123,32160,27895,734,2000048,0.14,0.14,,"MULTILINESTRING ((-77.106558 38.824941,-77.108637 38.826221))"
first,51,,2,32160,32306,28026,735,2000049,0.06,0.2,,"MULTILINESTRING ((-77.108637 38.826221,-77.109358 38.826811))"
first,51,,3,32306,32197,28369,736,2000050,0.15,0.35,,"MULTILINESTRING ((-77.109358 38.826811,-77.111298 38.828311))"
first,51,,4,32197,32128,28132,735,2000049,0.11,0.46,,"MULTILINESTRING ((-77.111298 38.828311,-77.112872 38.829422))"
first,51,,5,32128,32136,27911,736,2000050,0.05,0.51,,"MULTILINESTRING ((-77.112872 38.829422,-77.113466 38.829951))"
first,51,,6,32136,32252,27941,739,2000053,0.21,0.72,,"MULTILINESTRING ((-77.113466 38.829951,-77.115538 38.832533))"
first,52,,1,32146,32141,27973,741,2000055,0.16,0.16,,"MULTILINESTRING ((-77.129389 38.814231,-77.126629 38.813413))"
first,52,,2,32141,32318,27957,742,2000056,0.09,0.25,,"MULTILINESTRING ((-77.126629 38.813413,-77.1252 38.812852))"
first,52,,3,32318,32147,28404,743,2000057,0.19,0.44,,"MULTILINESTRING ((-77.1252 38.812852,-77.121668 38.812282))"
first,52,,4,32147,32319,27979,744,2000058,0.1,0.54,,"MULTILINESTRING ((-77.121668 38.812282,-77.119758 38.812031))"
first,52,,5,32319,32324,28408,745,2000059,0.21,0.75,,"MULTILINESTRING ((-77.119758 38.812031,-77.11588 38.811552))"
first,52,,6,32324,32101,28422,745,2000059,0.04,0.79,,"MULTILINESTRING ((-77.11588 38.811552,-77.115188 38.811492))"
first,52,,7,32101,32117,27824,746,2000060,0.16,0.95,,"MULTILINESTRING ((-77.115188 38.811492,-77.112328 38.811712))"
first,52,,8,32117,32115,27876,747,2000061,0.15,1.1,,"MULTILINESTRING ((-77.112328 38.811712,-77.109598 38.811953))"
first,52,,9,32115,32311,27870,748,2000062,0.31,1.41,,"MULTILINESTRING ((-77.109598 38.811953,-77.104067 38.811613))"
first,52,,10,32311,32116,28383,751,2000065,0.36,1.77,,"MULTILINESTRING ((-77.104067 38.811613,-77.097688 38.810292))"
first,52,,11,32116,32310,27873,752,2000066,0.18,1.95,,"MULTILINESTRING ((-77.097688 38.810292,-77.094438 38.809633))"
first,52,,12,32310,32309,28381,753,2000067,0.23,2.18,,"MULTILINESTRING ((-77.094438 38.809633,-77.090257 38.808801))"
first,52,,13,32309,32111,28378,754,2000068,0.09,2.27,,"MULTILINESTRING ((-77.090257 38.808801,-77.088657 38.808492))"
first,52,,14,32111,32349,27857,755,2000069,0.08,2.35,,"MULTILINESTRING ((-77.088657 38.808492,-77.087277 38.808263))"
first,53,,1,32105,32090,27835,761,2000075,0.4,0.4,,"MULTILINESTRING ((-77.072827 38.806213,-77.065678 38.805031))"
first,53,,2,32090,32091,27795,762,2000076,0.23,0.63,,"MULTILINESTRING ((-77.065678 38.805031,-77.062638 38.807213))"
first,53,,3,32091,32088,27798,762,2000076,0.1,0.73,,"MULTILINESTRING ((-77.062638 38.807213,-77.06089 38.806893))"
first,53,,4,32088,32157,27792,764,2000078,0.06,0.79,,"MULTILINESTRING ((-77.06089 38.806893,-77.059728 38.806712))"
first,53,,5,32157,32086,28013,764,2000078,0.13,0.92,,"MULTILINESTRING ((-77.059728 38.806712,-77.057278 38.806403))"
first,53,,6,32086,32085,27787,765,2000079,0.14,1.06,,"MULTILINESTRING ((-77.057278 38.806403,-77.054639 38.806031))"
first,53,,7,32085,32079,27783,767,2000081,0.24,1.3,,"MULTILINESTRING ((-77.054639 38.806031,-77.050259 38.805481))"
first,53,,8,32079,32380,27762,768,2000082,0.06,1.36,,"MULTILINESTRING ((-77.050259 38.805481,-77.049178 38.805352))"
first,53,,9,32380,32065,28592,769,2000083,0.12,1.48,,"MULTILINESTRING ((-77.049178 38.805352,-77.046978 38.805073))"
first,53,,10,32065,32212,27712,771,2000085,0.12,1.6,,"MULTILINESTRING ((-77.046978 38.805073,-77.044756 38.804772))"
first,53,,11,32212,32379,28190,771,2000085,0.06,1.66,,"MULTILINESTRING ((-77.044756 38.804772,-77.043619 38.804622))"
first,53,,12,32379,32059,28588,771,2000085,0.06,1.72,,"MULTILINESTRING ((-77.043619 38.804622,-77.042539 38.804493))"
first,53,,13,32059,32166,27693,773,2000087,0.08,1.8,,"MULTILINESTRING ((-77.042539 38.804493,-77.042297 38.805632))"
first,53,,14,32166,32057,28045,773,2000087,0.08,1.88,,"MULTILINESTRING ((-77.042297 38.805632,-77.042049 38.806772))"
first,53,,15,32057,32056,27685,775,2000089,0.24,2.12,,"MULTILINESTRING ((-77.042049 38.806772,-77.041328 38.810183))"
first,53,,16,32056,32052,27682,776,2000090,0.08,2.2,,"MULTILINESTRING ((-77.041328 38.810183,-77.041069 38.811311))"
first,53,,17,32052,32208,27670,777,2000091,0.08,2.28,,"MULTILINESTRING ((-77.041069 38.811311,-77.040817 38.812454))"
first,53,,18,32208,32051,28172,777,2000091,0.08,2.36,,"MULTILINESTRING ((-77.040817 38.812454,-77.040589 38.813582))"
first,54,,1,32156,32203,28009,782,2000096,0.18,0.18,,"MULTILINESTRING ((-77.044997 38.814143,-77.048349 38.814562))"
first,55,,1,5097,34022,8144,802,2000116,0.21,0.21,,"MULTILINESTRING ((-77.130782 38.800671,-77.134249 38.799151))"
first,55,,2,34022,32320,28698,787,2000101,0.26,0.47,,"MULTILINESTRING ((-77.134249 38.799151,-77.133737 38.802873))"
first,55,,3,32320,32159,28410,787,2000101,0.1,0.57,,"MULTILINESTRING ((-77.133737 38.802873,-77.133859 38.804254))"
first,55,,4,32159,32321,28023,787,2000101,0.1,0.67,,"MULTILINESTRING ((-77.133859 38.804254,-77.133679 38.805739))"
first,55,,5,32321,32144,28413,787,2000101,0.13,0.8,,"MULTILINESTRING ((-77.133679 38.805739,-77.133058 38.807602))"
first,55,,6,32144,32102,27965,793,2000107,0.2,1,,"MULTILINESTRING ((-77.133058 38.807602,-77.132119 38.810373))"
first,55,,7,32102,32097,27826,793,2000107,0.06,1.06,,"MULTILINESTRING ((-77.132119 38.810373,-77.131798 38.811222))"
first,55,,8,32097,32146,27817,793,2000107,0.25,1.31,,"MULTILINESTRING ((-77.131798 38.811222,-77.129389 38.814231))"
first,55,,9,32146,32141,27973,795,2000109,0.16,1.47,,"MULTILINESTRING ((-77.129389 38.814231,-77.126629 38.813413))"
first,55,,10,32141,32318,27957,796,2000110,0.09,1.56,,"MULTILINESTRING ((-77.126629 38.813413,-77.1252 38.812852))"
first,55,,11,32318,32147,28404,797,2000111,0.19,1.75,,"MULTILINESTRING ((-77.1252 38.812852,-77.121668 38.812282))"
first,55,,12,32147,32319,27979,798,2000112,0.1,1.85,,"MULTILINESTRING ((-77.121668 38.812282,-77.119758 38.812031))"
first,55,,13,32319,32324,28408,799,2000113,0.21,2.06,,"MULTILINESTRING ((-77.119758 38.812031,-77.11588 38.811552))"
first,55,,14,32324,32101,28422,799,2000113,0.04,2.1,,"MULTILINESTRING ((-77.11588 38.811552,-77.115188 38.811492))"
first,55,,15,32101,32117,27824,800,2000114,0.16,2.26,,"MULTILINESTRING ((-77.115188 38.811492,-77.112328 38.811712))"
first,55,,16,32117,32115,27876,801,2000115,0.15,2.41,,"MULTILINESTRING ((-77.112328 38.811712,-77.109598 38.811953))"
first,55,,17,32115,32311,27870,802,2000116,0.31,2.72,,"MULTILINESTRING ((-77.109598 38.811953,-77.104067 38.811613))"
first,56,,1,32116,32310,27873,806,2000120,0.18,0.18,,"MULTILINESTRING ((-77.097688 38.810292,-77.094438 38.809633))"
first,56,,2,32310,32309,28381,807,2000121,0.23,0.41,,"MULTILINESTRING ((-77.094438 38.809633,-77.090257 38.808801))"
first,56,,3,32309,32111,28378,808,2000122,0.09,0.5,,"MULTILINESTRING ((-77.090257 38.808801,-77.088657 38.808492))"
first,56,,4,32111,32349,27857,809,2000123,0.08,0.58,,"MULTILINESTRING ((-77.088657 38.808492,-77.087277 38.808263))"
first,56,,5,32349,32348,28499,811,2000125,0.25,0.83,,"MULTILINESTRING ((-77.087277 38.808263,-77.082777 38.807612))"
first,56,,6,32348,32161,28495,814,2000128,0.38,1.21,,"MULTILINESTRING ((-77.082777 38.807612,-77.075898 38.806623))"
first,56,,7,32161,32105,28029,814,2000128,0.17,1.38,,"MULTILINESTRING ((-77.075898 38.806623,-77.072827 38.806213))"
first,56,,8,32105,32090,27835,815,2000129,0.4,1.78,,"MULTILINESTRING ((-77.072827 38.806213,-77.065678 38.805031))"
first,56,,9,32090,32091,27795,816,2000130,0.23,2.01,,"MULTILINESTRING ((-77.065678 38.805031,-77.062638 38.807213))"
first,56,,10,32091,32088,27798,816,2000130,0.1,2.11,,"MULTILINESTRING ((-77.062638 38.807213,-77.06089 38.806893))"
first,56,,11,32088,32157,27792,818,2000132,0.06,2.17,,"MULTILINESTRING ((-77.06089 38.806893,-77.059728 38.806712))"
first,56,,12,32157,32086,28013,818,2000132,0.13,2.3,,"MULTILINESTRING ((-77.059728 38.806712,-77.057278 38.806403))"
first,56,,13,32086,32085,27787,819,2000133,0.14,2.44,,"MULTILINESTRING ((-77.057278 38.806403,-77.054639 38.806031))"
first,56,,14,32085,32079,27783,821,2000135,0.24,2.68,,"MULTILINESTRING ((-77.054639 38.806031,-77.050259 38.805481))"
first,56,,15,32079,32380,27762,822,2000136,0.06,2.74,,"MULTILINESTRING ((-77.050259 38.805481,-77.049178 38.805352))"
first,56,,16,32380,32065,28592,823,2000137,0.12,2.86,,"MULTILINESTRING ((-77.049178 38.805352,-77.046978 38.805073))"
first,57,,1,32379,32059,28588,825,2000139,0.06,0.06,,"MULTILINESTRING ((-77.043619 38.804622,-77.042539 38.804493))"
first,57,,2,32059,32166,27693,827,2000141,0.08,0.14,,"MULTILINESTRING ((-77.042539 38.804493,-77.042297 38.805632))"
first,57,,3,32166,32057,28045,827,2000141,0.08,0.22,,"MULTILINESTRING ((-77.042297 38.805632,-77.042049 38.806772))"
first,57,,4,32057,32056,27685,829,2000143,0.24,0.46,,"MULTILINESTRING ((-77.042049 38.806772,-77.041328 38.810183))"
first,57,,5,32056,32052,27682,830,2000144,0.08,0.54,,"MULTILINESTRING ((-77.041328 38.810183,-77.041069 38.811311))"
first,57,,6,32052,32208,27670,831,2000145,0.08,0.62,,"MULTILINESTRING ((-77.041069 38.811311,-77.040817 38.812454))"
first,57,,7,32208,32051,28172,831,2000145,0.08,0.7,,"MULTILINESTRING ((-77.040817 38.812454,-77.040589 38.813582))"
first,57,,8,32051,32377,27667,833,2000147,0.12,0.82,,"MULTILINESTRING ((-77.040589 38.813582,-77.042779 38.813842))"
first,57,,9,32377,32156,28582,834,2000148,0.12,0.94,,"MULTILINESTRING ((-77.042779 38.813842,-77.044997 38.814143))"
first,57,,10,32156,32203,28009,836,2000150,0.18,1.12,,"MULTILINESTRING ((-77.044997 38.814143,-77.048349 38.814562))"
first,58,,1,32158,32083,28019,839,2000153,0.06,0.06,,"MULTILINESTRING ((-77.054128 38.812761,-77.053279 38.812273))"
first,58,,2,32083,32365,27777,840,2000154,0.04,0.1,,"MULTILINESTRING ((-77.053279 38.812273,-77.053139 38.812852))"
first,58,,3,32365,32201,28546,842,2000156,0.18,0.28,,"MULTILINESTRING ((-77.053139 38.812852,-77.04991 38.812442))"
first,58,,4,32201,32202,28146,842,2000156,0.08,0.36,,"MULTILINESTRING ((-77.04991 38.812442,-77.049679 38.813551))"
first,58,,5,32202,32205,28150,843,2000157,0.06,0.42,,"MULTILINESTRING ((-77.049679 38.813551,-77.048587 38.813423))"
first,58,,6,32205,32054,28159,845,2000159,0.18,0.6,,"MULTILINESTRING ((-77.048587 38.813423,-77.045249 38.812993))"
first,58,,7,32054,32208,27677,849,2000163,0.24,0.84,,"MULTILINESTRING ((-77.045249 38.812993,-77.040817 38.812454))"
